termino,coeficiente,empuja_hacia
fire,3.538335607081091,desastre
hiroshima,3.1745272930187407,desastre
storm,2.6253455144703954,desastre
california,2.612282458418716,desastre
wildfire,2.5329667565872223,desastre
flood,2.3757558471032203,desastre
train,2.358439084527207,desastre
bombing,2.3414795004200517,desastre
urlweb,2.258647621481798,desastre
disaster,2.0934605379713167,desastre
earthquake,2.005246383210589,desastre
killed,2.002434023419274,desastre
police,1.922391561774668,desastre
massacre,1.9172532029372753,desastre
crash,1.9092709301693396,desastre
building,1.8864548567272668,desastre
tornado,1.8815121256999556,desastre
typhoon,1.857042575712265,desastre
evacuated,1.8049843483998171,desastre
suicide,1.774604019301555,desastre
love,-1.9399014751867054,no desastre
new,-1.872334077333614,no desastre
let,-1.7381057824275938,no desastre
bag,-1.6643591414139045,no desastre
ruin,-1.5720848216856325,no desastre
wrecked,-1.5519362739284126,no desastre
get,-1.5456366259827776,no desastre
traumatised,-1.5276149259384981,no desastre
want,-1.5157965211671713,no desastre
explode,-1.5015645671236215,no desastre
full,-1.4836111800355276,no desastre
song,-1.4021109829354912,no desastre
blew,-1.3954173477332839,no desastre
lol,-1.377696559719761,no desastre
avalanche,-1.3344669449612803,no desastre
god,-1.3196106417960758,no desastre
phone,-1.3127893085832119,no desastre
book,-1.29109057477441,no desastre
flattened,-1.2823360447571892,no desastre
thank,-1.2729945303434402,no desastre
