modelo,representacion,detalle,algoritmo,accuracy,precision_no_desastre,recall_no_desastre,f1_no_desastre,precision_desastre,recall_desastre,f1_desastre,macro_f1,reduccion
BOW + ComplementNB (stem),CountVectorizer,"word (1, 2)",ComplementNB,0.7962591850367402,0.7873443983402489,0.8835855646100116,0.8326933625891387,0.8123827392120075,0.6786833855799373,0.7395388556789069,0.7861161091340227,stem
TFIDF + Regresión logística (lema),TfidfVectorizer,"word (1, 2)",LogisticRegression,0.7922511690046761,0.8044444444444444,0.8428405122235157,0.8231949971574758,0.7738693467336684,0.7241379310344828,0.7481781376518218,0.7856865674046488,lema
TFIDF + ComplementNB (lema),TfidfVectorizer,"word (1, 2)",ComplementNB,0.7942551770207081,0.7854922279792746,0.8824214202561118,0.831140350877193,0.8101503759398496,0.6755485893416928,0.7367521367521368,0.7839462438146649,lema
TFIDF + Regresión logística (stem),TfidfVectorizer,"word (1, 2)",LogisticRegression,0.7895791583166333,0.8002207505518764,0.8440046565774156,0.8215297450424929,0.7732656514382402,0.7163009404388715,0.7436940602115542,0.7826119026270235,stem
TFIDF + ComplementNB (stem),TfidfVectorizer,"word (1, 2)",ComplementNB,0.7895791583166333,0.7821576763485477,0.8777648428405123,0.8272078990674712,0.8030018761726079,0.670846394984326,0.730999146029035,0.7791035225482531,stem
BOW + ComplementNB (lema),CountVectorizer,"word (1, 2)",ComplementNB,0.7889111556446226,0.7836990595611285,0.8731082654249127,0.8259911894273128,0.7981481481481482,0.6755485893416928,0.7317487266553481,0.7788699580413304,lema
BOW + Regresión logística (lema),CountVectorizer,"word (1, 2)",LogisticRegression,0.7855711422845691,0.7867803837953091,0.8591385331781141,0.8213689482470785,0.7835420393559929,0.6865203761755486,0.731829573934837,0.7765992610909578,lema
TFIDF + SVM lineal (lema),TfidfVectorizer,"word (1, 2)",LinearSVC,0.7768871075484302,0.7906976744186046,0.8311990686845169,0.8104426787741204,0.7558922558922558,0.7037617554858934,0.7288961038961039,0.7696693913351121,lema
BOW + Regresión logística (stem),CountVectorizer,"word (1, 2)",LogisticRegression,0.7782231128924516,0.7800212539851222,0.8544819557625145,0.8155555555555556,0.7751798561151079,0.6755485893416928,0.7219430485762144,0.768749302065885,stem
BOW + Random Forest (lema),CountVectorizer,"word (1, 2)",RandomForestClassifier,0.7775551102204409,0.7780126849894292,0.8568102444703143,0.8155124653739613,0.7767695099818511,0.670846394984326,0.719932716568545,0.7677225909712531,lema
TFIDF + Random Forest (lema),TfidfVectorizer,"word (1, 2)",RandomForestClassifier,0.770875083500334,0.7698744769874477,0.8568102444703143,0.8110192837465565,0.7726432532347505,0.6551724137931034,0.7090754877014419,0.7600473857239992,lema
TFIDF + SVM lineal (stem),TfidfVectorizer,"word (1, 2)",LinearSVC,0.7655310621242485,0.7815964523281597,0.8207217694994179,0.8006814310051107,0.7411764705882353,0.6912225705329154,0.7153284671532847,0.7580049490791977,stem
BOW + SVM lineal (stem),CountVectorizer,"word (1, 2)",LinearSVC,0.7608550434201736,0.7767955801104972,0.8183934807916181,0.7970521541950113,0.7364864864864865,0.6833855799373041,0.7089430894308943,0.7529976218129528,stem
BOW + SVM lineal (lema),CountVectorizer,"word (1, 2)",LinearSVC,0.760187040748163,0.7705627705627706,0.8288707799767171,0.7986539540100953,0.743455497382199,0.6677115987460815,0.70355078447564,0.7511023692428677,lema
