palabra,freq_no_desastre,freq_desastre,logratio
mh370,0,70,4.3703886134007535
northern,0,61,4.234843121404529
legionnaire,0,60,4.2185826005327485
debris,0,49,4.0197317417875835
severe,0,47,3.9789097472673287
hiroshima,1,91,3.9363501328485326
migrant,0,45,3.9363501328485326
investigator,0,37,3.7452948960858237
mosque,0,36,3.7186266490036624
derailment,0,35,3.6912276748155475
israeli,0,28,3.4750045663459117
turkey,0,28,3.4750045663459117
bomber,1,56,3.4576128236340424
typhoon,1,56,3.4576128236340424
pkk,0,26,3.4035456023637667
detonated,0,26,3.4035456023637667
wildfire,2,79,3.3911230823652097
abc,0,25,3.3658052743809197
01,0,24,3.3265845612276386
projected,0,24,3.3265845612276386
