palabra,freq_no_desastre,freq_desastre,logratio
bag,83,2,-3.2244957738157662
ruin,39,1,-2.8880235371945533
lmao,16,0,-2.7255046076967786
disney,16,0,-2.7255046076967786
career,16,0,-2.7255046076967786
ebay,29,1,-2.6003414647427725
character,14,0,-2.6003414647427725
electrocute,28,1,-2.566439913067091
louis,12,0,-2.457240621102099
handbag,24,1,-2.4180199079488176
complete,11,0,-2.377197913428563
ticket,11,0,-2.377197913428563
welcome,11,0,-2.377197913428563
lucky,11,0,-2.377197913428563
cake,22,1,-2.3346382990097667
song,33,2,-2.320039499588614
shall,10,0,-2.290186536438933
blew,32,2,-2.290186536438933
choice,10,0,-2.290186536438933
jeb,10,0,-2.290186536438933
