clase,ngrama,frecuencia,probabilidad
no desastre,urlweb,2193,0.056576
no desastre,n't,326,0.00841
no desastre,like,254,0.006553
no desastre,not,207,0.00534
no desastre,get,185,0.004773
no desastre,new,171,0.004412
no desastre,no,151,0.003896
no desastre,one,139,0.003586
no desastre,body,119,0.00307
no desastre,2,112,0.002889
no desastre,would,104,0.002683
no desastre,day,102,0.002631
no desastre,time,102,0.002631
no desastre,via,98,0.002528
no desastre,love,96,0.002477
no desastre,go,92,0.002373
no desastre,got,92,0.002373
no desastre,know,91,0.002348
no desastre,people,91,0.002348
no desastre,fire,88,0.00227
desastre,urlweb,2491,0.074489
desastre,fire,262,0.007835
desastre,news,139,0.004157
desastre,n't,120,0.003588
desastre,via,119,0.003559
desastre,disaster,116,0.003469
desastre,california,114,0.003409
desastre,no,112,0.003349
desastre,police,107,0.0032
desastre,suicide,106,0.00317
desastre,people,102,0.00305
desastre,home,102,0.00305
desastre,family,102,0.00305
desastre,2,101,0.00302
desastre,not,95,0.002841
desastre,killed,95,0.002841
desastre,storm,95,0.002841
desastre,year,92,0.002751
desastre,train,92,0.002751
desastre,like,91,0.002721
