palabra,valencia,polaridad,frecuencia
slavery,-3.8,negativa,1
terrorist,-3.7,negativa,48
murder,-3.7,negativa,43
rape,-3.7,negativa,5
kill,-3.7,negativa,68
fu,-3.7,negativa,1
raped,-3.6,negativa,1
hell,-3.6,negativa,25
murderer,-3.6,negativa,34
terrorism,-3.6,negativa,40
killed,-3.5,negativa,99
suicide,-3.5,negativa,114
fatality,-3.5,negativa,74
devil,-3.4,negativa,2
evil,-3.4,negativa,7
cancer,-3.4,negativa,12
fucked,-3.4,negativa,5
murdered,-3.4,negativa,6
killing,-3.4,negativa,14
catastrophe,-3.4,negativa,38
apocalyptic,-3.4,negativa,4
horrific,-3.4,negativa,4
tragedy,-3.4,negativa,36
dead,-3.3,negativa,98
killer,-3.3,negativa,9
murderous,-3.2,negativa,6
kia,-3.2,negativa,1
pissed,-3.2,negativa,2
doomed,-3.2,negativa,1
abuse,-3.2,negativa,6
fuckface,-3.2,negativa,1
fatally,-3.2,negativa,2
hated,-3.2,negativa,4
hatred,-3.2,negativa,2
crisis,-3.1,negativa,22
worst,-3.1,negativa,21
dickhead,-3.1,negativa,2
disaster,-3.1,negativa,156
fucktard,-3.1,negativa,1
brutal,-3.1,negativa,1
violence,-3.1,negativa,6
betrayed,-3.0,negativa,4
brutally,-3.0,negativa,4
douchebag,-3.0,negativa,2
destructive,-3.0,negativa,2
brutality,-3.0,negativa,1
racist,-3.0,negativa,4
devastated,-3.0,negativa,43
terrified,-3.0,negativa,1
drowned,-2.9,negativa,31
death,-2.9,negativa,116
obliterate,-2.9,negativa,30
die,-2.9,negativa,27
war,-2.9,negativa,95
violent,-2.9,negativa,36
torture,-2.9,negativa,2
doomsday,-2.8,negativa,1
condemnation,-2.8,negativa,2
ugliest,-2.8,negativa,1
bullshit,-2.8,negativa,1
assault,-2.8,negativa,1
fraud,-2.8,negativa,1
horrendous,-2.8,negativa,1
ruin,-2.8,negativa,40
devastates,-2.8,negativa,1
wtf,-2.8,negativa,12
bitch,-2.8,negativa,16
stab,-2.8,negativa,4
hate,-2.7,negativa,22
scam,-2.7,negativa,1
destruction,-2.7,negativa,40
chaos,-2.7,negativa,5
corpse,-2.7,negativa,1
furious,-2.7,negativa,2
anger,-2.7,negativa,4
